visit_number,patient_number,sepsis_score,group,patient_name,admission_date,discharge_date,days_of_hospitalization,discharge_status,survival_status,patient_breed,sex,weight,age,clinical_diagnosis,other_conditions,premature,gestational_age,attitude,T,P,R,CRT,blood_culture_done,blood_culture_result,blood_culture_result_desc,IgG,RBC,Hg,HCT,MCV,MCH,MCHC,RDW,nucleated_RBC,anisocytosis,echinocytes,Howell_Jolly_bodies,acanthocytes,other_morphology,poikilocytosis,schistocytes,rouleaux,Heinz_bodies,microcytes,WBC ,metamyelocytes,bands,toxicity1,neut,toxicity2,lymph,mono,eos,baso,platelets,clumps,macroplatelets,TPP,fib,RPR,glu,lactate,creatinine
3490CD,679873,13,Septic,Tux (Point '13 Colt),28-May-13,28-Oct-13,153.00,ALIVE,Survivor,EQ-HANOVERIAN,M,16,0,1) Premature: delayed endochondral ossification of the cuboidal bones 2) C-Diff antigen positive via Elisa (resolved 9/22/13) 3) Carpal Valgus 4) Fetlock Varus,Yes,Yes,302,Obtunded,92.7,60-80,16-24,1-2s,1,2,NO GROWTH,,9.27,14.50,43.20,46.60,15.60,33.60,18.40,,Slight,,,,,,,Slight,,,6640.00,,,,5923.00,,631.00,66.00,13.00,13.00,188.00,,,4.40,200.00,0.0979,76.00,3.00,0.6
4083CU,692926,17,Septic,Hobby's Foal,21-Mar-17,21-Mar-17,0.00,EUTH,Non-Survivor,EQ-QUARTER HORSE,M,36,144,1) Premature 2) Septic urachitis 3) Left tarsocrural joint effusion 4) Left middle carpal joint effusion 5) Right middle carpal joint effusion 6) Incomplete ossification of cuboidal bones 7) Osteomyelitis (radiographic evidence) of right carpal bones,,Yes,309,BAR,102.3,120,60,2,1,2,No Growth,<400,9.29,13.80,40.10,43.20,14.90,34.40,19.20,,Slight,Moderate,Rare,Moderate,,,Rare,Moderate,Rare,,29210.00,,292.00,,25997.00,,2045.00,876.00,0.00,0.00,323.00,,,5.90,900.00,0.0594,127.00,0.90,0.6
2086CV,692956,13,Septic,Tiza Lovely Lady Foal 17,21-May-17,3-Jun-17,13.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,69,120,1) Clostridium perfringens enterocolitis toxins alpha and beta. (type C),No,,,BAR,101.5,100,70,3,1,2,no growth,>800,8.53,12.60,34.90,40.90,14.80,36.10,19.20,,slight ,,,,,,,,,,2690.00,,242.00,slight toxicity,404.00,,1399.00,646.00,0.00,0.00,115.00,no,,4.50,300.00,0.1670,172.00,2.70,0.7
8331BY,675854,6,Septic,Majestic's12 Colt,7-Apr-12,10-Apr-12,3.00,ALIVE,Survivor,EQ-THOROUGHBRED,M,49,96,1) Sepsis - blood culture positive Clostridium septicum 2) Septic arthritis with clostridium septicum 3) Enlarged umbilical artery 4) Patent Urachus,No,,,Quiet,102,100,44,,1,1,DIRECT SMEAR: DAY 1: LARGE NUMBERS GRAM (+) RODS; DAY 2: LARGE NUMBERS GRAM (+) RODS(WITH SPORES) AND LARGE NUMBERS GRAM (+) COCCOBACILLI. CULTURE: NO GROWTH. ANAEROBIC CULTURE LARGE NUMBERS CLOSTRIDIUM SEPTICUM. SUSCEPTIBLE TO METRONIDAZOLE.,>800,8.27,11.10,30.40,36.80,13.40,36.50,17.30,,Slight,,,Few,,,,,,,7800.00,,78.00,,6318.00,,1092.00,312.00,0.00,0.00,105.00,,,5.70,500.00,0.1648,101.00,1.00,0.7
6409CH,682593,7,SNS,Aurora's '14 Filly,27-May-14,3-Jun-14,7.00,ALIVE,Survivor,EQ-ANDALUSIAN,F,47.5,168,1) Coronavirus and Clostridium difficile enterocolitis,No,No,348,"Alert, Responsive",100.9,108,20,2-3s,1,2,NO GROWTH,,11.73,13.50,41.60,35.50,11.50,32.50,18.10,,Slight,,,,,,,,,,3870.00,,,,3038.00,,762.00,58.00,4.00,12.00,134.00,,,6.00,600.00,0.1351,92.00,1.00,0.7
7123DD,698656,4,SNS,Sagrado,4-Apr-19,10-Apr-19,6.00,ALIVE,Survivor,EQ-ANDALUSIAN,M,69,120,1) Nutritional myodegeneration (suspected),No,,,BAR,100.2,120,26,1,2,,,800,10.43,13.20,36.40,34.90,12.70,36.30,19.10,,Slight,Moderate,,,,,,,,,6480.00,,,,4977.00,,1380.00,32.00,52.00,45.00,148.00,,,5.00,500.00,0.1291,112.00,4.80,0.7
3595BZ,676441,23,Septic,India-Estrellas 2012 Foal,29-May-12,29-May-12,0.00,EUTH,Non-Survivor,EQ-MIX/QUARTER HORSE],F,,72,"1) severe pneumonia, likely aspiration 2) hypoventilation 3) failure of passive transfer 4) septicemia",,,,Depressed,104,94,24,prolonged,1,1,"DIRECT SMEAR: LARGE NUMBERS GRAM (+) COCCI (CHAINS) AND SMALL NUMBERS GRAM (-) RODS. CULTURE: STREPTOCOCCUS VIRIDANS GROUP, BACILLUS SP. AND ACTINOBACILLUS EQUULI SS HEMOLYTICUS BV1.",,9.49,13.00,36.40,38.40,13.70,35.70,17.80,,Slight,,,,,,,,,,2850.00,,798.00,MODERATE TOXICITY,228.00,SLIGHT TOXICITY  ,1682.00,143.00,,,283.00,,,4.60,500.00,0.0629,24.00,5.40,0.7
350CL,685187,4,SNS,Margo's 2015 Filly,27-Feb-15,5-Mar-15,6.00,ALIVE,Survivor,EQ-AMERICAN PAINT HORSE,F,43.2,168,1) Septicemia 2) Patent Urachus 3) Left eye anterior uveitis 4) Infected umbilical arteries,No,,,BAR,100.6,100,40,1,1,2,NO GROWTH,,8.14,12.70,32.90,40.40,15.60,38.60,18.50,,Slight,,Rare,,,,,,,,26600.00,,,,22716.00,,3298.00,452.00,53.00,106.00,354.00,,,6.30,800.00,0.0523,132.00,1.80,0.7
2848DM,842049,10,SNS,Pancake,26-Mar-21,1-Apr-21,6.00,ALIVE,Survivor,EQ-MIX/FRIESIAN/AMERICAN PAINT HORSE,M,36,48,1) Clostridium perfringens cytotoxin netF 2) Clostridium difficile,No,No,342,BAR,102.2,140,44,2,2,,,,7.80,11.90,34.60,44.40,15.30,34.40,18.90,,slight,many,few,,,,,,,,7760.00,,466.00,few slight toxicity,5742.00,,854.00,698.00,0.00,0.00,68.00,no,,6.70,500.00,0.2779,140.00,2.60,0.8
4222CI,683418,2,SNS,Silver Miracle 2014 Colt,24-Jul-14,24-Jul-14,0.00,ALIVE,Survivor,EQ-ARABIAN,M,,72,1) Congenital orbital / ocular mass OS 2) Microcornea OS 3) Microphthalmos OS (suspect) 4) Umbilical stump hernia/inflammation,,No,326,BAR,100.5,108,52,<2,2,,,,11.44,14.40,39.80,34.80,12.60,36.20,18.60,,Slight,Few,,,,,,,,,6500.00,,,,4810.00,,787.00,806.00,59.00,52.00,78.00,,,4.80,400.00,0.2385,239.00,,0.8
